ID,Time Stamp,Region,Latitude,Longitude,Risk-Level
0,03-18-2021,Acton,34.4807415,-118.1868379,1
1,03-18-2021,Adams-Normandie,34.0317877,-118.3002466,1
2,03-18-2021,Agoura Hills,34.14791,-118.76570420000002,2
3,03-18-2021,Alhambra,34.093042,-118.12706,1
4,03-18-2021,Alsace,33.9879995,-118.3476199,1
5,03-18-2021,Altadena,34.1863161,-118.13523290000002,1
6,03-18-2021,Angeles National Forest,34.3216546,-118.019201,0
7,03-18-2021,Angelino Heights,34.070288899999994,-118.2547965,1
8,03-18-2021,Arcadia,34.136207500000005,-118.0401497,1
9,03-18-2021,Arleta,34.2413266,-118.4322047,2
10,03-18-2021,Artesia,33.8690197,-118.0796195,2
11,03-18-2021,Atwater Village,34.1163979,-118.2564637,1
12,03-18-2021,Avalon,33.342209999999994,-118.3272612,0
13,03-18-2021,Azusa,34.1338751,-117.9056046,1
14,03-18-2021,Baldwin Hills,34.01098870000001,-118.3370709,1
15,03-18-2021,Baldwin Park,34.0854739,-117.9611761,0
16,03-18-2021,Bel Air,34.0827278,-118.44798020000002,0
17,03-18-2021,Bell,33.9747806,-118.1866361,2
18,03-18-2021,Bell Gardens,33.9694561,-118.1503953,2
19,03-18-2021,Bellflower,33.8825705,-118.1167679,1
20,03-18-2021,Beverly Crest,34.1167701,-118.4322607,1
21,03-18-2021,Beverly Hills,34.0696501,-118.3963062,3
22,03-18-2021,Beverlywood,34.0459334,-118.39492,1
23,03-18-2021,Boyle Heights,34.0436892,-118.20976840000002,2
24,03-18-2021,Bradbury,34.1469511,-117.9708982,0
25,03-18-2021,Brentwood,34.0521403,-118.4740699,0
26,03-18-2021,Brookside,34.0536909,-118.2427666,0
27,03-18-2021,Burbank,34.181648200000005,-118.3258554,1
28,03-18-2021,Cadillac-Corning,33.973951,-118.248405,0
29,03-18-2021,Calabasas,34.144664299999995,-118.6440973,1
30,03-18-2021,Canoga Park,34.2010776,-118.5978259,2
31,03-18-2021,Canyon Country,34.42332929999999,-118.4720281,1
32,03-18-2021,Carson,33.832204299999994,-118.2517547,1
33,03-18-2021,Carthay,34.0611213,-118.3672997,1
34,03-18-2021,Castaic,34.488882200000006,-118.6228656,2
35,03-18-2021,Central,34.0536909,-118.2427666,3
36,03-18-2021,Century City,34.0574263,-118.4147267,0
37,03-18-2021,Century Palms/Cove,34.062844,-118.415813,2
38,03-18-2021,Cerritos,33.8644291,-118.0539323,0
39,03-18-2021,Chatsworth,34.2595715,-118.6023247,1
40,03-18-2021,Cheviot Hills,34.0405878,-118.4098875,1
41,03-18-2021,Chinatown,34.0638402,-118.2358676,1
42,03-18-2021,Claremont,34.0966764,-117.7197785,0
43,03-18-2021,Cloverdale/Cochran,34.062323,-118.346155,0
44,03-18-2021,Commerce,34.002581,-118.156586,1
45,03-18-2021,Compton,33.894927,-118.226624,1
46,03-18-2021,Country Club Park,34.050289,-118.3211871,1
47,03-18-2021,Covina,34.1024,-117.854865,0
48,03-18-2021,Crenshaw District,34.0611479,-118.3194219,0
49,03-18-2021,Crestview,34.0621851,-118.4250119,1
50,03-18-2021,Cudahy,33.9620584,-118.1835395,0
51,03-18-2021,Culver City,34.0211224,-118.3964665,1
52,03-18-2021,Del Rey,33.9896527,-118.4243437,1
53,03-18-2021,Diamond Bar,34.02862260000001,-117.8103367,2
54,03-18-2021,Downey,33.942215000000004,-118.1235646,3
55,03-18-2021,Downtown,34.0428494,-118.2476732,3
56,03-18-2021,Duarte,34.1394513,-117.9772873,1
57,03-18-2021,Eagle Rock,34.1366877,-118.2076796,1
58,03-18-2021,East Hollywood,34.0904277,-118.2966254,2
59,03-18-2021,East Los Angeles,34.0239015,-118.17201570000002,2
60,03-18-2021,Echo Park,34.0779819,-118.2567824,0
61,03-18-2021,El Monte,34.0751571,-118.036849,0
62,03-18-2021,El Segundo,33.917028,-118.4156337,1
63,03-18-2021,El Sereno,34.0811213,-118.1778495,1
64,03-18-2021,Elysian Park,34.0774343,-118.23862040000002,1
65,03-18-2021,Elysian Valley,34.095912799999994,-118.2420326,1
66,03-18-2021,Encino,34.1591324,-118.5016166,1
67,03-18-2021,Exposition,34.013653999999995,-118.2872106,2
68,03-18-2021,Exposition Park,34.013653999999995,-118.2872106,2
69,03-18-2021,Faircrest Heights,33.275839000000005,-96.991881,1
70,03-18-2021,Figueroa Park Square,34.065295,-118.244762,1
71,03-18-2021,Florence-Firestone,33.9674263,-118.2433068,3
72,03-18-2021,Gardena,33.8963593,-118.3053037,2
73,03-18-2021,Glassell Park,34.1161201,-118.2289627,2
74,03-18-2021,Glendale,34.146941600000005,-118.2478471,3
75,03-18-2021,Glendora,34.136118700000004,-117.865339,1
76,03-18-2021,Gramercy Place,33.8677941,-118.31354640000002,0
77,03-18-2021,Granada Hills,34.26615579999999,-118.5174342,1
78,03-18-2021,Green Meadows,33.9409877,-118.26299679999998,1
79,03-18-2021,Hacienda Heights,33.993067700000005,-117.9686755,0
80,03-18-2021,Hancock Park,34.0677881,-118.3325765,2
81,03-18-2021,Harbor City,33.79110120000001,-118.3012604,1
82,03-18-2021,Harbor Gateway,33.8542249,-118.2992198,0
83,03-18-2021,Harbor Pines,33.78256810000001,-118.3069302,0
84,03-18-2021,Harvard Heights,34.047110499999995,-118.3054828,1
85,03-18-2021,Harvard Park,33.9839471,-118.3046228,3
86,03-18-2021,Hawaiian Gardens,33.8284787,-118.0743137,1
87,03-18-2021,Hawthorne,33.9188589,-118.3483256,0
88,03-18-2021,Hermosa Beach,33.86428,-118.39591,1
89,03-18-2021,Hidden Hills,34.164091,-118.657837,0
90,03-18-2021,Highland Park,34.1099469,-118.1969828,0
91,03-18-2021,Historic Filipinotown,34.88298,-114.7569,1
92,03-18-2021,Hollywood,34.0980031,-118.3295232,1
93,03-18-2021,Hollywood Hills,34.1311792,-118.3355474,0
94,03-18-2021,Huntington Park,33.982704299999995,-118.21203429999998,3
95,03-18-2021,Hyde Park,33.9805691,-118.3306308,1
96,03-18-2021,Industry,34.0197335,-117.9586754,0
97,03-18-2021,Inglewood,33.9562003,-118.353132,3
98,03-18-2021,Irwindale,34.1069927,-117.9342148,0
99,03-18-2021,Jefferson Park,34.0272344,-118.3175756,1
100,03-18-2021,Koreatown,34.05801339999999,-118.3008095,0
101,03-18-2021,La Canada Flintridge,34.1998302,-118.2005236,3
102,03-18-2021,La Habra Heights,33.96045460000001,-117.9504255,1
103,03-18-2021,La Mirada,33.906097100000004,-118.0107092,1
104,03-18-2021,La Puente,34.01979,-117.95036770000002,1
105,03-18-2021,La Verne,34.10084260000001,-117.7678355,0
106,03-18-2021,Lafayette Square,34.046406,-118.33379,0
107,03-18-2021,Lake Balboa,34.1811656,-118.495236,2
108,03-18-2021,Lake Los Angeles,34.6127395,-117.8403955,0
109,03-18-2021,Lakeview Terrace,34.139661700000005,-117.8986251,0
110,03-18-2021,Lakewood,33.8503463,-118.1171914,0
111,03-18-2021,Lancaster,34.6981064,-118.1366153,0
112,03-18-2021,Lawndale,33.8885217,-118.3531991,0
113,03-18-2021,Leimert Park,34.007702,-118.3320627,1
114,03-18-2021,Lincoln Heights,34.081248200000005,-118.2034419,2
115,03-18-2021,Little Armenia,34.0981716,-118.3044966,2
116,03-18-2021,Little Bangladesh,34.056179,-118.271908,1
117,03-18-2021,Little Tokyo,34.04821679999999,-118.2411814,0
118,03-18-2021,Lomita,33.8036545,-118.3195014,0
119,03-18-2021,Longwood,33.973537,-118.4263953,1
120,03-18-2021,Los Feliz,34.1100408,-118.2889236,0
121,03-18-2021,Lynwood,33.924831,-118.2024154,3
122,03-18-2021,Malibu,34.035591,-118.689423,0
123,03-18-2021,Manchester Square,33.966374,-118.3133775,1
124,03-18-2021,Mandeville Canyon,34.0610395,-118.4949801,1
125,03-18-2021,Manhattan Beach,33.8915985,-118.3951241,1
126,03-18-2021,Mar Vista,34.0037605,-118.4391641,2
127,03-18-2021,Marina Peninsula,33.74871270000001,-118.1227115,1
128,03-18-2021,Maywood,33.9866807,-118.185349,1
129,03-18-2021,Melrose,34.0536909,-118.2427666,3
130,03-18-2021,Mid-city,34.0415271,-118.3603703,0
